objectid,title,creator,date,description,subject,coverage_spatial,type,format,identifier,source,rights,image
bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_1,The Farm SF Club flyer,Unknown,1986,Punk flyer from The Farm SF Club documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues,"San Francisco, California",Image,Photograph,bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_1,"Bay Area Punk Flyers Collection, #8161",Educational use,bay_area_punk_flyers_8161_7_1.jpg
bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_2,The Farm SF Club flyer,Unknown,1986,Punk flyer from The Farm SF Club documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues,"San Francisco, California",Image,Photograph,bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_2,"Bay Area Punk Flyers Collection, #8161",Educational use,bay_area_punk_flyers_8161_7_2.jpg
bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_3,The Farm SF Club flyer,Unknown,1986,Punk flyer from The Farm SF Club documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues,"San Francisco, California",Image,Photograph,bay_area_punk_flyers_8161_the_farm_sf_club_1986_1_1_3,"Bay Area Punk Flyers Collection, #8161",Educational use,bay_area_punk_flyers_8161_7_3.jpg
bay_area_punk_flyers_8161_sf_venues_misc_1985_1986_1,San Francisco venues flyer,Unknown,1985-1986,Punk venue flyer from San Francisco venues documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues,"San Francisco, California",Image,Photograph,bay_area_punk_flyers_8161_sf_venues_misc_1985_1986_1,"Bay Area Punk Flyers Collection, #8161",Educational use,bay_area_punk_flyers_8161_14_1.jpg
bay_area_punk_flyers_8161_sf_venues_misc_1985_1986_2,San Francisco venues flyer,Unknown,1985-1986,Punk venue flyer from San Francisco venues documented in the Bay Area Punk Flyers collection.,punk rock music; punk flyers; san francisco venues,"San Francisco, California",Image,Photograph,bay_area_punk_flyers_8161_sf_venues_misc_1985_1986_2,"Bay Area Punk Flyers Collection, #8161",Educational use,bay_area_punk_flyers_8161_14_2.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_4,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_4,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_4.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_5,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_5,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_5.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_6,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_6,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_6.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_7,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_7,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_7.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_8,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_8,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_8.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_9,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_9,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_9.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_10,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_10,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_10.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_11,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_11,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_11.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_12,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_12,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_12.jpg
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_13,Psychotherapy 1991 1992,Aaron Cometbus,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psyhotherapy,Special Collections Archive,Image,Photograph,cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_13,Cometbus Punk and Underground Press Collection,Educational use,cometbus_4_8107_box_4_13.jpg
